# omega_m (in cm^-1), huang-rhys 
8.400000000000000000e+01,1.510000000000000057e-02
1.670000000000000000e+02,8.099999999999999561e-03
1.830000000000000000e+02,7.199999999999999803e-03
1.910000000000000000e+02,1.959999999999999937e-02
2.140000000000000000e+02,4.599999999999999922e-03
2.390000000000000000e+02,7.799999999999999642e-03
2.560000000000000000e+02,5.499999999999999681e-03
3.450000000000000000e+02,1.609999999999999973e-02
3.680000000000000000e+02,6.000000000000000125e-03
3.880000000000000000e+02,4.100000000000000346e-03
4.070000000000000000e+02,5.199999999999999761e-03
4.230000000000000000e+02,2.899999999999999800e-03
4.420000000000000000e+02,2.299999999999999961e-03
4.730000000000000000e+02,1.699999999999999905e-03
5.060000000000000000e+02,1.600000000000000077e-03
5.650000000000000000e+02,8.099999999999999561e-03
5.870000000000000000e+02,3.899999999999999821e-03
6.230000000000000000e+02,5.799999999999999600e-03
6.840000000000000000e+02,2.299999999999999961e-03
6.960000000000000000e+02,2.500000000000000052e-03
7.100000000000000000e+02,1.799999999999999951e-03
7.270000000000000000e+02,2.659999999999999865e-02
7.760000000000000000e+02,9.499999999999999764e-03
8.030000000000000000e+02,4.199999999999999740e-03
8.450000000000000000e+02,2.500000000000000052e-03
8.580000000000000000e+02,2.500000000000000052e-03
8.900000000000000000e+02,2.840000000000000163e-02
9.150000000000000000e+02,4.799999999999999580e-03
9.670000000000000000e+02,2.700000000000000143e-03
9.800000000000000000e+02,3.099999999999999891e-03
1.001000000000000000e+03,4.000000000000000083e-03
1.019000000000000000e+03,9.700000000000000289e-03
1.066000000000000000e+03,2.500000000000000052e-03
1.089000000000000000e+03,2.099999999999999870e-03
1.105000000000000000e+03,2.099999999999999870e-03
1.117000000000000000e+03,1.030000000000000013e-02
1.137000000000000000e+03,4.199999999999999740e-03
1.158000000000000000e+03,1.030000000000000013e-02
1.180000000000000000e+03,2.500000000000000052e-03
1.190000000000000000e+03,3.099999999999999891e-03
1.211000000000000000e+03,2.500000000000000052e-03
1.229000000000000000e+03,2.099999999999999870e-03
1.252000000000000000e+03,2.500000000000000052e-03
1.289000000000000000e+03,8.699999999999999400e-03
1.378000000000000000e+03,8.600000000000000006e-03
1.466000000000000000e+03,2.099999999999999870e-03
1.519000000000000000e+03,1.699999999999999905e-03
1.539000000000000000e+03,2.299999999999999961e-03
1.648000000000000000e+03,2.500000000000000052e-03
1.680000000000000000e+03,2.700000000000000143e-03
