# t_fs,alpha_10,alpha_9_11,alpha_8_12,alpha_7_13,alpha_6_14,alpha_5_15,alpha_4_16,alpha_3_17,alpha_2_18,alpha_1_19
0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.000000,0.986267,0.009304,0.000262,0.000063,0.000009,0.000005,0.000000,0.000000,0.000000,0.000000
2.000000,0.958387,0.028000,0.000987,0.000246,0.000037,0.000020,0.000000,0.000000,0.000000,0.000000
3.000000,0.918381,0.062135,0.002080,0.000540,0.000083,0.000045,0.000000,0.000000,0.000000,0.000000
4.000000,0.854366,0.105000,0.003449,0.000937,0.000148,0.000080,0.000000,0.000000,0.000000,0.000000
5.000000,0.783208,0.144066,0.005000,0.001429,0.000230,0.000125,0.000000,0.000000,0.000000,0.000000
6.000000,0.701602,0.180000,0.007159,0.002006,0.000330,0.000180,0.000000,0.000000,0.000000,0.000000
7.000000,0.619557,0.208885,0.010466,0.002660,0.000448,0.000245,0.000000,0.000000,0.000000,0.000000
8.000000,0.546021,0.235000,0.015000,0.003383,0.000583,0.000320,0.000000,0.000000,0.000000,0.000000
9.000000,0.476552,0.265840,0.023293,0.004166,0.000736,0.000405,0.000000,0.000000,0.000000,0.000000
10.000000,0.413415,0.285000,0.035000,0.005000,0.000905,0.000500,0.000000,0.000000,0.000000,0.000000
11.000000,0.355646,0.287208,0.048962,0.006091,0.001091,0.000605,0.000000,0.000000,0.000000,0.000000
12.000000,0.303049,0.288000,0.065000,0.007644,0.001294,0.000720,0.000000,0.000000,0.000000,0.000000
13.000000,0.254857,0.287470,0.082500,0.009651,0.001513,0.000845,0.000000,0.000000,0.000000,0.000000
14.000000,0.210755,0.286000,0.100000,0.012106,0.001749,0.000980,0.000000,0.000000,0.000000,0.000000
15.000000,0.187130,0.274397,0.116038,0.015000,0.002000,0.001125,0.000000,0.000000,0.000000,0.000000
16.000000,0.171826,0.255000,0.130000,0.019698,0.002405,0.001280,0.000000,0.000000,0.000000,0.000000
17.000000,0.166685,0.235300,0.141571,0.026760,0.003063,0.001445,0.000000,0.000000,0.000000,0.000000
18.000000,0.167706,0.215000,0.150000,0.034973,0.003919,0.001620,0.000000,0.000000,0.000000,0.000000
19.000000,0.169570,0.192833,0.155129,0.043124,0.004917,0.001805,0.000000,0.000000,0.000000,0.000000
20.000000,0.172345,0.180000,0.158000,0.050000,0.006000,0.002000,0.000000,0.000000,0.000000,0.000000
21.000000,0.175846,0.180000,0.159052,0.055622,0.007248,0.002292,0.000000,0.000000,0.000000,0.000000
22.000000,0.176667,0.180000,0.159748,0.060867,0.008774,0.002757,0.000000,0.000000,0.000000,0.000000
23.000000,0.176667,0.180000,0.160000,0.065800,0.010576,0.003375,0.000000,0.000000,0.000000,0.000000
24.000000,0.176667,0.180000,0.158208,0.070489,0.012652,0.004129,0.000000,0.000000,0.000000,0.000000
25.000000,0.174167,0.176500,0.155000,0.075000,0.015000,0.005000,0.000000,0.000000,0.000000,0.000000
26.000000,0.165687,0.170000,0.152050,0.079498,0.018029,0.006247,0.000131,0.000000,0.000000,0.000000
27.000000,0.157239,0.162500,0.148765,0.083960,0.021908,0.008033,0.000474,0.000000,0.000000,0.000000
